cui,code,str
C0009316,J01XB01,colistin
C0032535,J01XB02,polymyxin B
C3653365,J01XC,Steroid antibacterials
C0016875,J01XC01,fusidic acid
C3540045,J01XD,Imidazole derivatives
C3540045,J01XD,"Imidazole derivatives, antibacterial for systemic use"
C0025872,J01XD01,metronidazole
C0040263,J01XD02,tinidazole
C0029274,J01XD03,ornidazole
C3541391,J01XE,Nitrofuran derivatives
C3541391,J01XE,"Nitrofuran derivatives, antibacterials for systemic use"
C0028156,J01XE01,nitrofurantoin
C3266849,J01XE02,nifurtoinol
C0878309,J01XE03,furazidin
C3871437,J01XE51,"nitrofurantoin, combinations"
C3653918,J01XX,Other antibacterials
C3653918,J01XX,Other antibacterials in ATC
C0016610,J01XX01,fosfomycin
C0078622,J01XX02,xibornol
C0055915,J01XX03,clofoctol
C0001268,J01XX04,spectinomycin
C0025638,J01XX05,methenamine
C0065636,J01XX06,mandelic acid
C0068881,J01XX07,nitroxoline
C0663241,J01XX08,linezolid
C0057144,J01XX09,daptomycin
C0004599,J01XX10,bacitracin
C2744850,J01XX11,tedizolid
C4482908,J01XX12,lefamulin
C4309999,J01XX13,gepotidacin
C3653762,J02,ANTIMYCOTICS FOR SYSTEMIC USE
C3653762,J02A,ANTIMYCOTICS FOR SYSTEMIC USE
C3540704,J02AA,Antibiotics
C3540704,J02AA,Antibiotics for systemic use
C0002679,J02AA01,amphotericin B
C0062076,J02AA02,hachimycin
C3539193,J02AB,Imidazole derivatives
C3539193,J02AB,"Imidazole derivatives, antimycotic for systemic use"
C0025942,J02AB01,miconazole
C0022625,J02AB02,ketoconazole
C3541389,J02AC,Triazole and tetrazole derivatives
C0016277,J02AC01,fluconazole
C0064113,J02AC02,itraconazole
C0393080,J02AC03,voriconazole
C0936148,J02AC04,posaconazole
C1832021,J02AC05,isavuconazole
C4519300,J02AC06,oteseconazole
C3653299,J02AX,Other antimycotics for systemic use
C3653299,J02AX,Other antimycotics for systemic use in ATC
C0016278,J02AX01,flucytosine
C0537894,J02AX04,caspofungin
C1120386,J02AX05,micafungin
C1142738,J02AX06,anidulafungin
C5206403,J02AX07,ibrexafungerp
C4726688,J02AX08,rezafungin acetate
C0360390,J04,ANTIMYCOBACTERIALS
C3653496,J04A,DRUGS FOR TREATMENT OF TUBERCULOSIS
C3653631,J04AA,Aminosalicylic acid and derivatives
C0030125,J04AA01,4-aminosalicylic acid
C0301336,J04AA02,sodium aminosalicylate
C0301333,J04AA03,calcium aminosalicylate
C0003237,J04AB,Antibiotics
C0003237,J04AB,"Antibiotics, Antitubercular"
C0010590,J04AB01,cycloserine
C0035608,J04AB02,rifampicin
C0073371,J04AB03,rifamycin
C0140575,J04AB04,rifabutin
C0073372,J04AB05,rifapentine
C0014405,J04AB06,enviomycin
C0262964,J04AB30,capreomycin
C3539113,J04AC,Hydrazides
C3539113,J04AC,Hydrazides for tuberculosis treatment
C0022209,J04AC01,isoniazid
C0086317,J04AC02,ftivazide
C3653080,J04AC51,"isoniazid, combinations"
C3653352,J04AD,Thiocarbamide derivatives
C3653352,J04AD,Thiocarbamide derivatives for treatment of tuberculosis
C0033705,J04AD01,protionamide
C3652604,J04AD02,tiocarlide
C0015021,J04AD03,ethionamide
C3653870,J04AK,Other drugs for treatment of tuberculosis
C3653870,J04AK,Other drugs for treatment of tuberculosis in ATC
C0034239,J04AK01,pyrazinamide
C0014964,J04AK02,ethambutol
C0145184,J04AK03,terizidone
C0066807,J04AK04,morinamide
C1664205,J04AK05,bedaquiline
C3489682,J04AK06,delamanid
C0039834,J04AK07,thioacetazone
C4310440,J04AK08,pretomanid
C3653682,J04AM,Combinations of drugs for treatment of tuberculosis
C3652710,J04AM01,streptomycin and isoniazid
C0358905,J04AM02,rifampicin and isoniazid
C2079437,J04AM03,ethambutol and isoniazid
C3652707,J04AM04,thioacetazone and isoniazid
C0717871,J04AM05,"rifampicin, pyrazinamide and isoniazid"
C3652489,J04AM06,"rifampicin, pyrazinamide, ethambutol and isoniazid"
C2079438,J04AM07,"rifampicin, ethambutol and isoniazid"
C4759132,J04AM08,"isoniazid, sulfamethoxazole and trimethoprim"
C5978755,J04AM09,"pyrazinamide, ethambutol, isoniazid and lomefloxacin"
C5978756,J04AM10,"pyrazinamide, ethambutol, protionamide and lomefloxacin"
C5978757,J04AM11,"rifabutin, pyrazinamide and protionamide"
C5978758,J04AM12,"rifampicin, pyrazinamide, isoniazid and levofloxacin"
C3653747,J04B,DRUGS FOR TREATMENT OF LEPRA
C3653747,J04BA,Drugs for treatment of lepra
C0008996,J04BA01,clofazimine
C0010980,J04BA02,dapsone
C0144098,J04BA03,aldesulfone sodium
C5783052,J04BA50,dapsone and rifampicin
C5783053,J04BA51,"dapsone, rifampicin and clofazimine"
C3653777,J05,ANTIVIRALS FOR SYSTEMIC USE
C3653501,J05A,DIRECT ACTING ANTIVIRALS
C3541967,J05AA,Thiosemicarbazones
C3541967,J05AA,"Thiosemicarbazones, direct acting antivirals"
C0025656,J05AA01,metisazone
C3653816,J05AB,Nucleosides and nucleotides excl. reverse transcriptase inhibitors
C0001367,J05AB01,aciclovir
C0020811,J05AB02,idoxuridine
C0042646,J05AB03,vidarabine
C0017066,J05AB06,ganciclovir
C0209227,J05AB09,famciclovir
C0249458,J05AB11,valaciclovir
C0286079,J05AB12,cidofovir
C0164815,J05AB13,penciclovir
C0909381,J05AB14,valganciclovir
C0163272,J05AB15,brivudine
C4726677,J05AB16,remdesivir
C3886763,J05AB17,brincidofovir
C5435024,J05AB18,molnupiravir
C3653443,J05AC,Cyclic amines
C3653443,J05AC,"Cyclic amines, direct acting antivirals"
C0035629,J05AC02,rimantadine
C0077379,J05AC03,tromantadine
C3653392,J05AD,Phosphonic acid derivatives
C3653392,J05AD,"Phosphonic acid derivatives, direct acting antivirals"
C0070895,J05AD01,foscarnet
C0031681,J05AD02,fosfonet
C3540755,J05AE,Protease inhibitors
C3540755,J05AE,"Protease inhibitors, direct acting antivirals"
C0286738,J05AE01,saquinavir
C0376637,J05AE02,indinavir
C0292818,J05AE03,ritonavir
C0525005,J05AE04,nelfinavir
C0754188,J05AE05,amprenavir
C1176315,J05AE07,fosamprenavir
C1145759,J05AE08,atazanavir
C0663733,J05AE09,tipranavir
C1435444,J05AE10,darunavir
C5690425,J05AE16,ensitrelvir
C5564905,J05AE30,nirmatrelvir and ritonavir
C3653569,J05AF,Nucleoside and nucleotide reverse transcriptase inhibitors
C0043474,J05AF01,zidovudine
C0012133,J05AF02,didanosine
C0012132,J05AF03,zalcitabine
C0164662,J05AF04,stavudine
C0209738,J05AF05,lamivudine
C0663655,J05AF06,abacavir
C0963398,J05AF07,tenofovir disoproxil
C0540694,J05AF08,adefovir dipivoxil
C0909839,J05AF09,emtricitabine
C0971023,J05AF10,entecavir
C1453933,J05AF11,telbivudine
C0045212,J05AF12,clevudine
C3713958,J05AF13,tenofovir alafenamide
C3541376,J05AG,Non-nucleoside reverse transcriptase inhibitors
C0132326,J05AG01,nevirapine
C0288165,J05AG02,delavirdine
C0674428,J05AG03,efavirenz
C1456409,J05AG04,etravirine
C1566826,J05AG05,rilpivirine
C4045491,J05AG06,doravirine
C5139772,J05AG07,elsulfavirine
C3541969,J05AH,Neuraminidase inhibitors
C3541969,J05AH,"Neuraminidase inhibitors, direct acting antivirals"
C0216660,J05AH01,zanamivir
C0874161,J05AH02,oseltamivir
C1675326,J05AH03,peramivir
C2931958,J05AH04,laninamivir
C5400718,J05AJ,Integrase inhibitors
C5400718,J05AJ,"Integrase Inhibitors, antiinfectives for systematic use"
C1871526,J05AJ01,raltegravir
C2606637,J05AJ02,elvitegravir
C3253985,J05AJ03,dolutegravir
C4310385,J05AJ04,cabotegravir
C4542181,J05AP,Antivirals for treatment of HCV infections
C0035525,J05AP01,ribavirin
C1876229,J05AP02,telaprevir
C1738934,J05AP03,boceprevir
C3661290,J05AP04,faldaprevir
C2605855,J05AP05,simeprevir
C3491974,J05AP06,asunaprevir
C3252090,J05AP07,daclatasvir
C2976303,J05AP08,sofosbuvir
C3852512,J05AP09,dasabuvir
C4080052,J05AP10,elbasvir
C4080053,J05AP11,grazoprevir
C5139680,J05AP12,coblopasvir
C4508633,J05AP13,ravidasvir
C2974454,J05AP14,narlaprevir
C3858051,J05AP51,sofosbuvir and ledipasvir
C3882783,J05AP52,"dasabuvir, ombitasvir, paritaprevir and ritonavir"
C3864967,J05AP53,"ombitasvir, paritaprevir and ritonavir"
C4080453,J05AP54,elbasvir and grazoprevir
C4271578,J05AP55,sofosbuvir and velpatasvir
C4518997,J05AP56,"sofosbuvir, velpatasvir and voxilaprevir"
C4519575,J05AP57,glecaprevir and pibrentasvir
C5227824,J05AP58,"daclatasvir, asunaprevir and beclabuvir"
C3653692,J05AR,"Antivirals for treatment of HIV infections, combinations"
C0717880,J05AR01,zidovudine and lamivudine
C1613391,J05AR02,lamivudine and abacavir
C2929052,J05AR03,tenofovir disoproxil and emtricitabine
C0939216,J05AR04,"zidovudine, lamivudine and abacavir"
C1827180,J05AR05,"zidovudine, lamivudine and nevirapine"
C5400117,J05AR06,"emtricitabine, tenofovir disoproxil and efavirenz"
C1998239,J05AR07,"stavudine, lamivudine and nevirapine"
C3191261,J05AR08,"emtricitabine, tenofovir disoproxil and rilpivirine"
C3486538,J05AR09,"emtricitabine, tenofovir disoproxil, elvitegravir and cobicistat"
C0939237,J05AR10,lopinavir and ritonavir
C2929688,J05AR11,"lamivudine, tenofovir disoproxil and efavirenz"
C3871446,J05AR12,lamivudine and tenofovir disoproxil
C3854896,J05AR13,"lamivudine, abacavir and dolutegravir"
C3871454,J05AR14,darunavir and cobicistat
C3883388,J05AR15,atazanavir and cobicistat
C4032879,J05AR16,lamivudine and raltegravir
C4059167,J05AR17,emtricitabine and tenofovir alafenamide
C4058848,J05AR18,"emtricitabine, tenofovir alafenamide, elvitegravir and cobicistat"
C4059166,J05AR19,"emtricitabine, tenofovir alafenamide and rilpivirine"
C4542162,J05AR20,"emtricitabine, tenofovir alafenamide and bictegravir"
C4530989,J05AR21,dolutegravir and rilpivirine
C4542164,J05AR22,"emtricitabine, tenofovir alafenamide, darunavir and cobicistat"
C1977391,J05AR23,atazanavir and ritonavir
C4723313,J05AR24,"lamivudine, tenofovir disoproxil and doravirine"
C4765557,J05AR25,lamivudine and dolutegravir
C1976853,J05AR26,darunavir and ritonavir
C5227834,J05AR27,"lamivudine, tenofovir disoproxil and dolutegravir"
C1960128,J05AR28,stavudine and lamivudine
C5978747,J05AR29,"emtricitabine, tenofovir alafenamide and dolutegravir"
C3653892,J05AX,Other antivirals
C3653892,J05AX,Other antivirals in ATC
C0066805,J05AX01,moroxydine
C3541379,J05AX02,lysozyme
C0022230,J05AX05,inosine pranobex
C0759032,J05AX06,pleconaril
C0537439,J05AX07,enfuvirtide
C1667052,J05AX09,maraviroc
C1508759,J05AX10,maribavir
C0254211,J05AX13,umifenovir
C0657562,J05AX17,enisamium iodide
C3852938,J05AX18,letermovir
C0040221,J05AX19,tilorone
C3660913,J05AX21,pentanedioic acid imidazolyl ethanamide
C1434792,J05AX23,ibalizumab
C2713595,J05AX24,tecovirimat
C4688747,J05AX25,baloxavir marboxil
C2983876,J05AX26,amenamevir
C1138226,J05AX27,favipiravir
C5139876,J05AX28,bulevirtide
C4519220,J05AX29,fostemsavir
C5244461,J05AX31,lenacapavir
C2714695,J05AX32,riamilovir
C5555465,J05AX33,labuvirtide
C3653581,J06,IMMUNE SERA AND IMMUNOGLOBULINS
C3542465,J06A,IMMUNE SERA
C3542465,J06A,IMMUNE SERA SYSTEMIC ANTIINFECTIVES
C3542465,J06AA,Immune sera
C0012547,J06AA01,diphtheria antitoxin
C0039615,J06AA02,tetanus antitoxin
C3652536,J06AA03,snake venom antiserum
C0006044,J06AA04,botulinum antitoxin
C3652631,J06AA05,gas-gangrene sera
C3652538,J06AA06,rabies serum
C0021027,J06B,IMMUNOGLOBULINS
C0358321,J06BA,"Immunoglobulins, normal human"
C3652961,J06BA01,"immunoglobulins, normal human, for extravascular adm."
C3652960,J06BA02,"immunoglobulins, normal human, for intravascular adm."
C0358334,J06BB,Specific immunoglobulins
C0073188,J06BB01,anti-D (rh) immunoglobulin
C4048265,J06BB02,tetanus immunoglobulin
C0078049,J06BB03,varicella/zoster immunoglobulin
C0062525,J06BB04,hepatitis B immunoglobulin
C0301503,J06BB05,rabies immunoglobulin
C1827835,J06BB06,rubella immunoglobulin
C0301513,J06BB07,vaccinia immunoglobulin
C3652672,J06BB08,staphylococcus immunoglobulin
C0057002,J06BB09,cytomegalovirus immunoglobulin
C0012547,J06BB10,diphtheria immunoglobulin
C3652495,J06BB11,hepatitis A immunoglobulin
C0593472,J06BB12,"encephalitis, tick borne immunoglobulin"
C0443681,J06BB13,pertussis immunoglobulin
C1321960,J06BB14,measles immunoglobulin
C0770704,J06BB15,mumps immunoglobulin
C4059024,J06BB19,anthrax immunoglobulin
C3539969,J06BB30,combinations
C3539969,J06BB30,Specific immunoglobulin combinations
C3653858,J06BC,Antibacterial monoclonal antibodies
C0132092,J06BC01,nebacumab
C2717174,J06BC02,raxibacumab
C4291320,J06BC03,bezlotoxumab
C4224790,J06BC04,obiltoxaximab
C5577416,J06BD,Antiviral monoclonal antibodies
C0672596,J06BD01,palivizumab
C2713599,J06BD02,motavizumab
C5564078,J06BD03,tixagevimab and cilgavimab
C5432324,J06BD04,ansuvimab
C5433947,J06BD05,sotrovimab
C5432268,J06BD06,regdanvimab
C5433281,J06BD07,casirivimab and imdevimab
C5418478,J06BD08,nirsevimab
C5854470,J06BD09,sipavibart
C0042210,J07,VACCINES
C0004632,J07A,BACTERIAL VACCINES
C0358297,J07AC,Anthrax vaccines
C0882692,J07AC01,anthrax antigen
C3653450,J07AD,Brucellosis vaccines
C3652922,J07AD01,brucella antigen
C0008359,J07AE,Cholera vaccines
C3652918,J07AE01,"cholera, inactivated, whole cell"
C3652917,J07AE02,"cholera, live attenuated"
C3653262,J07AE51,"cholera, combinations with typhoid vaccine, inactivated, whole cell"
C0012551,J07AF,Diphtheria vaccines
C0012551,J07AF01,diphtheria toxoid
C3653328,J07AG,Haemophilus influenzae B vaccines
C3652496,J07AG01,"haemophilus influenzae B, purified antigen conjugated"
C3653249,J07AG51,"haemophilus influenzae B, combinations with toxoids"
C3652447,J07AG52,"haemophilus influenzae B, combinations with pertussis and toxoids"
C3653250,J07AG53,"haemophilus influenzae B, combinations with meningococcus C, conjugated"
C5577410,J07AG54,"haemophilus influenza B, combinations with meningococcus C,Y, conjugated"
C0700144,J07AH,Meningococcal vaccines
C3652507,J07AH01,"meningococcus A, purified polysaccharides antigen"
C3652501,J07AH02,other meningococcal monovalent purified polysaccharides antigen
C3652505,J07AH03,"meningococcus A,C, bivalent purified polysaccharides antigen"
C3652504,J07AH04,"meningococcus A,C,Y,W-135, tetravalent purified polysaccharides antigen"
C3652500,J07AH05,other meningococcal polyvalent purified polysaccharides antigen
C3652485,J07AH06,"meningococcus B, outer membrane vesicle vaccine"
C3652444,J07AH07,"meningococcus C, purified polysaccharides antigen conjugated"
C3652503,J07AH08,"meningococcus A,C,Y,W-135, tetravalent purified polysaccharides antigen conjugated"
C3652502,J07AH09,"meningococcus B, multicomponent vaccine"
C3652506,J07AH10,"meningococcus A, purified polysaccharides antigen conjugated"
C5978751,J07AH11,"meningococcus A,B,C,Y,W-135, pentavalent purified polysaccharides antigen conjugated and factor H binding protein"
C0031237,J07AJ,Pertussis vaccines
C3652513,J07AJ01,"pertussis, inactivated, whole cell"
C3652514,J07AJ02,"pertussis, purified antigen"
C3653238,J07AJ51,"pertussis, inactivated, whole cell, combinations with toxoids"
C3653237,J07AJ52,"pertussis, purified antigen, combinations with toxoids"
C0032066,J07AK,Plague vaccines
C3652515,J07AK01,"plague, inactivated, whole cell"
C0358314,J07AL,Pneumococcal vaccines
C3652516,J07AL01,"pneumococcus, purified polysaccharides antigen"
C3652517,J07AL02,"pneumococcus, purified polysaccharides antigen conjugated"
C3652722,J07AL52,"pneumococcus purified polysaccharides antigen and haemophilus influenzae, conjugated"
C0039620,J07AM,Tetanus vaccines
C0305062,J07AM01,tetanus toxoid
C3653220,J07AM51,"tetanus toxoid, combinations with diphtheria toxoid"
C3653219,J07AM52,"tetanus toxoid, combinations with tetanus immunoglobulin"
C0041305,J07AN,Tuberculosis vaccines
C3652576,J07AN01,"tuberculosis, live attenuated"
C0041469,J07AP,Typhoid vaccines
C3652524,J07AP01,"typhoid, oral, live attenuated"
C3652488,J07AP02,"typhoid, inactivated, whole cell"
C3652525,J07AP03,"typhoid, purified polysaccharide antigen"
C3653217,J07AP10,"typhoid, combinations with paratyphi types"
C3653292,J07AR,Typhus (exanthematicus) vaccines
C3652445,J07AR01,"typhus exanthematicus, inactivated, whole cell"
C3653890,J07AX,Other bacterial vaccines
C3653890,J07AX,Other bacterial vaccines in ATC
C0771771,J07AX01,leptospira vaccines
C0042742,J07B,VIRAL VACCINES
C3653472,J07BA,Encephalitis vaccines
C3652481,J07BA01,"encephalitis, tick borne, inactivated, whole virus"
C3652510,J07BA02,"encephalitis, Japanese, inactivated, whole virus"
C3700406,J07BA03,"encephalitis, Japanese, live attenuated"
C0021403,J07BB,Influenza vaccines
C3652557,J07BB01,"influenza, inactivated, whole virus"
C3652558,J07BB02,"influenza, inactivated, split virus or surface antigen"
C3652556,J07BB03,"influenza, live attenuated"
C5432207,J07BB04,"influenza, virus like particles"
C5978749,J07BB05,"influenza, RNA-based vaccine"
C3543421,J07BC,Hepatitis vaccines
C3652493,J07BC01,"hepatitis B, purified antigen"
C3652508,J07BC02,"hepatitis A, inactivated, whole virus"
C3540026,J07BC20,combinations
C3540026,J07BC20,Hepatitis vaccine combinations
C0025010,J07BD,Measles vaccines
C0770689,J07BD01,"measles, live attenuated"
C3653247,J07BD51,"measles, combinations with mumps, live attenuated"
C3653248,J07BD52,"measles, combinations with mumps and rubella, live attenuated"
C3653245,J07BD53,"measles, combinations with rubella, live attenuated"
C3653246,J07BD54,"measles, combinations with mumps, rubella and varicella, live attenuated"
C0026782,J07BE,Mumps vaccines
C3652430,J07BE01,"mumps, live attenuated"
C0032374,J07BF,Poliomyelitis vaccines
C3652519,J07BF01,"poliomyelitis oral, monovalent, live attenuated"
C3652520,J07BF02,"poliomyelitis oral, trivalent, live attenuated"
C3652521,J07BF03,"poliomyelitis, trivalent, inactivated, whole virus"
C3652518,J07BF04,"poliomyelitis oral, bivalent, live attenuated"
C0034496,J07BG,Rabies vaccines
C3652486,J07BG01,"rabies, inactivated, whole virus"
C3653374,J07BH,Rota virus diarrhea vaccines
C0795661,J07BH01,"rota virus, live attenuated"
C1701734,J07BH02,"rota virus, pentavalent, live, reassorted"
C0035923,J07BJ,Rubella vaccines
C0035923,J07BJ01,"rubella, live attenuated"
C3653224,J07BJ51,"rubella, combinations with mumps, live attenuated"
C1319755,J07BK,Varicella zoster vaccines
C3464497,J07BK01,"varicella, live attenuated"
C1720918,J07BK02,"zoster, live attenuated"
C4542180,J07BK03,"zoster, purified antigen"
C0301508,J07BL,Yellow fever vaccines
C0301508,J07BL01,"yellow fever, live attenuated"
C1721102,J07BM,Papillomavirus vaccines
C3652498,J07BM01,"papillomavirus (human types 6, 11, 16, 18)"
C3652490,J07BM02,"papillomavirus (human types 16, 18)"
C4059162,J07BM03,"papillomavirus (human types 6, 11, 16, 18, 31, 33, 45, 52, 58)"
C5400806,J07BN,Covid-19 vaccines
C5424007,J07BN01,"covid-19, RNA-based vaccine"
C5442843,J07BN02,"covid-19, viral vector, non-replicating"
C5783049,J07BN03,"covid-19, inactivated virus"
C5424007,J07BN04,"covid-19, protein subunit"
C5881819,J07BN05,"covid-19, virus-like particles"
C3653947,J07BX,Other viral vaccines
C3653947,J07BX,Other viral vaccines in ATC
C5678726,J07BX01,smallpox and monkeypox vaccines
C1449556,J07BX02,ebola vaccines
C5577610,J07BX04,dengue virus vaccines
C0887894,J07BX05,respiratory syncytial virus vaccines
C5881807,J07BX06,enterovirus 71 vaccines
C3653758,J07C,"BACTERIAL AND VIRAL VACCINES, COMBINED"
C3653758,J07CA,"Bacterial and viral vaccines, combined"
C1532221,J07CA01,diphtheria-poliomyelitis-tetanus
C0058782,J07CA02,diphtheria-pertussis-poliomyelitis-tetanus
C3652590,J07CA03,diphtheria-rubella-tetanus
C3652761,J07CA04,haemophilus influenzae B and poliomyelitis
C3652655,J07CA05,diphtheria-hepatitis B-pertussis-tetanus
C3700387,J07CA06,diphtheria-haemophilus influenzae B-pertussis-poliomyelitis-tetanus
C3652915,J07CA07,diphtheria-hepatitis B-tetanus
C3652762,J07CA08,haemophilus influenzae B and hepatitis B
C3652658,J07CA09,diphtheria-haemophilus influenzae B-pertussis-poliomyelitis-tetanus-hepatitis B
C1276976,J07CA10,typhoid-hepatitis A
C3652657,J07CA11,diphtheria-haemophilus influenzae B-pertussis-tetanus-hepatitis B
C3652509,J07CA12,diphtheria-pertussis-poliomyelitis-tetanus-hepatitis B
C3652656,J07CA13,diphtheria-haemophilus influenzae B-pertussis-tetanus-hepatitis B-meningococcus A + C
C3653931,J07X,OTHER VACCINES
C3653931,J07X,OTHER VACCINES in ATC
C5783065,J07XA,Parasitic vaccines
C0206255,J07XA01,malaria vaccines
C3653621,L,ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS
C0003392,L01,ANTINEOPLASTIC AGENTS
C0002073,L01A,ALKYLATING AGENTS
C3653295,L01AA,Nitrogen mustard analogues
C0010583,L01AA01,cyclophosphamide
C0008163,L01AA02,chlorambucil
C0025241,L01AA03,melphalan
C0025033,L01AA05,chlormethine
C0020823,L01AA06,ifosfamide
C0077375,L01AA07,trofosfamide
C0032949,L01AA08,prednimustine
C0525079,L01AA09,bendamustine
C1435749,L01AA10,melphalan flufenamide
C3539102,L01AB,Alkyl sulfonate alkylating agents
C3539102,L01AB,Alkyl sulfonates
C0006463,L01AB01,busulfan
C0076959,L01AB02,treosulfan
C0065696,L01AB03,mannosulfan
C3653433,L01AC,Ethylene imines
C3653433,L01AC,"Ethylene imines, antineoplastic alkylating drugs"
C0039871,L01AC01,thiotepa
C0040878,L01AC02,triaziquone
C0006971,L01AC03,carboquone
C3540781,L01AD,Nitrosoureas
C3540781,L01AD,"Nitrosoureas, antineoplastic alkylating agents"
C0007257,L01AD01,carmustine
C0023972,L01AD02,lomustine
C0036637,L01AD03,semustine
C0038432,L01AD04,streptozocin
C0060696,L01AD05,fotemustine
C0028096,L01AD06,nimustine
C0243666,L01AD07,ranimustine
C0041920,L01AD08,uramustine
C3542457,L01AG,Epoxides
C3542457,L01AG,"Epoxides, antineoplastic alkylating drugs"
C0015039,L01AG01,etoglucid
C3653301,L01AX,Other alkylating agents
C3653301,L01AX,Other alkylating agents in ATC
C0026236,L01AX01,mitobronitol
C0031965,L01AX02,pipobroman
C0076080,L01AX03,temozolomide
C0010927,L01AX04,dacarbazine
C0003376,L01B,ANTIMETABOLITES
C1517282,L01BA,"Folic acid analogs, antimetabolites"
C1517282,L01BA,Folic acid analogues
C0025677,L01BA01,methotrexate
C0677667,L01BA03,raltitrexed
C0210657,L01BA04,pemetrexed
C1721300,L01BA05,pralatrexate
C3653380,L01BB,"Purine analogs, antimetabolites antineoplastic"
C3653380,L01BB,Purine analogues
C0000618,L01BB02,mercaptopurine
C0039902,L01BB03,tioguanine
C0092801,L01BB04,cladribine
C0059985,L01BB05,fludarabine
C0092777,L01BB06,clofarabine
C0907349,L01BB07,nelarabine
C3653377,L01BC,Pyrimidine analogues
C3653377,L01BC,"Pyrimidine analogues, antineoplastic antimetabolites"
C0010711,L01BC01,cytarabine
C0016360,L01BC02,fluorouracil
C0016778,L01BC03,tegafur
C0044401,L01BC04,carmofur
C0045093,L01BC05,gemcitabine
C0671970,L01BC06,capecitabine
C0004475,L01BC07,azacitidine
C0049065,L01BC08,decitabine
C0016343,L01BC09,floxuridine
C3652869,L01BC52,"fluorouracil, combinations"
C3652809,L01BC53,"tegafur, combinations"
C5882042,L01BC58,"decitabine, combinations"
C3871425,L01BC59,"trifluridine, combinations"
C3653389,L01C,PLANT ALKALOIDS AND OTHER NATURAL PRODUCTS
C3653389,L01C,"PLANT ALKALOIDS AND OTHER NATURAL PRODUCTS, ANTINEOPLASTIC DRUGS"
C3653346,L01CA,Vinca alkaloids and analogues
C3653346,L01CA,"Vinca alkaloids and analogues, antineoplastic"
C0042670,L01CA01,vinblastine
C0042679,L01CA02,vincristine
C0042682,L01CA03,vindesine
C0078257,L01CA04,vinorelbine
C0672663,L01CA05,vinflunine
C3530172,L01CA06,vintafolide
C3653388,L01CB,Podophyllotoxin derivatives
C3653388,L01CB,"Podophyllotoxin derivatives, antineoplastic drugs"
C0015133,L01CB01,etoposide
C0039512,L01CB02,teniposide
C3653298,L01CC,Colchicine derivatives
C3653298,L01CC,"Colchicine derivatives, antineooplastic"
C0011259,L01CC01,demecolcine
C3541958,L01CD,Taxanes
C3541958,L01CD,"Taxanes, antineoplastic"
C0144576,L01CD01,paclitaxel
C0246415,L01CD02,docetaxel
C1702776,L01CD03,paclitaxel poliglumex
C2830183,L01CD04,cabazitaxel
C5783060,L01CD51,paclitaxel and encequidar
C5432232,L01CE,Topoisomerase 1 (TOP1) inhibitors
C0146224,L01CE01,topotecan
C0123931,L01CE02,irinotecan
C3659087,L01CE03,etirinotecan pegol
C0762737,L01CE04,belotecan
C3653839,L01CX,Other plant alkaloids and natural products
C3653839,L01CX,Other plant alkaloids and natural products in ATC
C1311070,L01CX01,trabectedin
C3653597,L01D,CYTOTOXIC ANTIBIOTICS AND RELATED SUBSTANCES
C0001259,L01DA,Actinomycines
C0010934,L01DA01,dactinomycin
C3653626,L01DB,Anthracyclines and related substances
C0013089,L01DB01,doxorubicin
C0011015,L01DB02,daunorubicin
C0014582,L01DB03,epirubicin
C0001143,L01DB04,aclarubicin
C0206788,L01DB05,zorubicin
C0020789,L01DB06,idarubicin
C0026259,L01DB07,mitoxantrone
C0071126,L01DB08,pirarubicin
C0068314,L01DB09,valrubicin
C0762659,L01DB10,amrubicin
C0253355,L01DB11,pixantrone
C3653876,L01DC,Other cytotoxic antibiotics
C3653876,L01DC,Other cytotoxic antibiotics in ATC
C0005740,L01DC01,bleomycin
C0026234,L01DC02,plicamycin
C0002475,L01DC03,mitomycin
C1135132,L01DC04,ixabepilone
C5667146,L01DC05,utidelone
C5401044,L01E,PROTEIN KINASE INHIBITORS
C5401044,L01E,"PROTEIN KINASE INHIBITORS, ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS"
C4722639,L01EA,BCR-ABL tyrosine kinase inhibitors
C0935989,L01EA01,imatinib
C1455147,L01EA02,dasatinib
C1721377,L01EA03,nilotinib
C1831731,L01EA04,bosutinib
C2987417,L01EA05,ponatinib
C4508722,L01EA06,asciminib
C5574906,L01EB,Epidermal growth factor receptor (EGFR) tyrosine kinase inhibitors
C1122962,L01EB01,gefitinib
C1135135,L01EB02,erlotinib
C2987648,L01EB03,afatinib
C4058811,L01EB04,osimertinib
C4045493,L01EB05,rociletinib
C4301624,L01EB06,olmutinib
C2987430,L01EB07,dacomitinib
C2604307,L01EB08,icotinib
C4724849,L01EB09,lazertinib
C5418176,L01EB10,mobocertinib
C5446308,L01EB11,aumolertinib
C5432219,L01EC,B-Raf serine-threonine kinase (BRAF) inhibitors
C3192263,L01EC01,vemurafenib
C3467876,L01EC02,dabrafenib
C4079208,L01EC03,encorafenib
C5432218,L01ED,Anaplastic lymphoma kinase (ALK) inhibitors
C2974289,L01ED01,crizotinib
C3818721,L01ED02,ceritinib
C3853921,L01ED03,alectinib
C4287815,L01ED04,brigatinib
C4080091,L01ED05,lorlatinib
C5432228,L01EE,Mitogen-activated protein kinase (MEK) inhibitors
