cui,code,str
C0066469,A04AD05,metopimazine
C0039663,A04AD10,dronabinol
C0068333,A04AD11,nabilone
C1176306,A04AD12,aprepitant
C2347566,A04AD13,casopitant
C3273719,A04AD14,rolapitant
C3652834,A04AD51,"scopolamine, combinations"
C3653124,A04AD54,"chlorobutanol, combinations"
C3654041,A05,BILE AND LIVER THERAPY
C3654041,A05,BILE AND LIVER THERAPY DRUGS
C3654040,A05A,BILE THERAPY
C3654040,A05A,BILE THERAPY DRUGS
C3653451,A05AA,Bile acids and derivatives
C3653451,A05AA,Bile acids and derivatives for bile therapy
C0008024,A05AA01,chenodeoxycholic acid
C0042105,A05AA02,ursodeoxycholic acid
C0055568,A05AA03,cholic acid
C1143018,A05AA04,obeticholic acid
C0075857,A05AA05,ursodoxicoltaurine
C3653383,A05AB,Preparations for biliary tract therapy
C3652544,A05AB01,nicotinyl methylamide
C3654039,A05AX,Other drugs for bile therapy
C3654039,A05AX,Other drugs for bile therapy in ATC
C0071123,A05AX01,piprozolin
C0020411,A05AX02,hymecromone
C0056739,A05AX03,cyclobutyrol
C5418449,A05AX04,maralixibat chloride
C5238052,A05AX05,odevixibat
C4508936,A05AX06,elafibranor
C5238203,A05AX07,seladelpar
C3653559,A05B,"LIVER THERAPY, LIPOTROPICS"
C3653980,A05BA,Liver therapy
C3653980,A05BA,Liver therapy drugs
C0377223,A05BA01,arginine glutamate
C0037135,A05BA03,silymarin
C0055804,A05BA04,citiolone
C0059459,A05BA05,epomediol
C0134110,A05BA06,ornithine oxoglurate
C3652559,A05BA07,tidiacic arginine
C0061751,A05BA08,glycyrrhizic acid
C0066042,A05BA09,metadoxine
C0031676,A05BA10,phospholipids
C3653658,A05C,DRUGS FOR BILE THERAPY AND LIPOTROPICS IN COMBINATION
C3653756,A06,DRUGS FOR CONSTIPATION
C3653756,A06A,DRUGS FOR CONSTIPATION
C3653479,A06AA,"Softeners, emollients"
C0026156,A06AA01,liquid paraffin
C0243237,A06AA02,docusate sodium
C3652857,A06AA51,"liquid paraffin, combinations"
C3653507,A06AB,Contact laxatives
C0031422,A06AB01,oxyphenisatine
C0005632,A06AB02,bisacodyl
C0057135,A06AB03,dantron
C0600489,A06AB04,phenolphthalein
C0007343,A06AB05,castor oil
C3489575,A06AB06,senna glycosides
C0205704,A06AB07,cascara
C0071042,A06AB08,sodium picosulfate
C3652923,A06AB09,bisoxatin
C3652901,A06AB20,contact laxatives in combination
C3653258,A06AB30,contact laxatives in combination with belladonna alkaloids
C3653169,A06AB52,"bisacodyl, combinations"
C3653159,A06AB53,"dantron, combinations"
C3652833,A06AB56,"senna glycosides, combinations"
C3652885,A06AB57,"cascara, combinations"
C3652827,A06AB58,"sodium picosulfate, combinations"
C0304550,A06AC,Bulk-forming laxatives
C3652564,A06AC01,ispaghula (psylla seeds)
C3652695,A06AC02,ethulose
C0022516,A06AC03,sterculia
C0023754,A06AC05,linseed
C0025729,A06AC06,methylcellulose
C3652539,A06AC07,triticum (wheat fibre)
C0054480,A06AC08,polycarbophil calcium
C3653076,A06AC51,"ispaghula, combinations"
C3652823,A06AC53,"sterculia, combinations"
C3652427,A06AC55,"linseed, combinations"
C3653403,A06AD,Osmotically acting laxatives
C0065517,A06AD01,magnesium carbonate
C0024477,A06AD02,magnesium oxide
C0771691,A06AD03,magnesium peroxide
C0024480,A06AD04,magnesium sulfate
C3652549,A06AD10,mineral salts in combination
C0022957,A06AD11,lactulose
C0064585,A06AD12,lactitol
C0074769,A06AD13,sodium sulfate
C3652599,A06AD14,pentaerithrityl
C0032483,A06AD15,macrogol
C0024730,A06AD16,mannitol
C0074757,A06AD17,sodium phosphate
C0037688,A06AD18,sorbitol
C0126774,A06AD19,magnesium citrate
C0142931,A06AD21,sodium tartrate
C3652860,A06AD61,"lactulose, combinations"
C3652854,A06AD65,"macrogol, combinations"
C3538923,A06AG,Enema for Constipation
C3538923,A06AG,Enemas
C0074757,A06AG01,sodium phosphate
C0005632,A06AG02,bisacodyl
C3653158,A06AG03,"dantron, incl. combinations"
C0017861,A06AG04,glycerol
C3541397,A06AG06,oil
C3541397,A06AG06,oil ingredients
C0037688,A06AG07,sorbitol
C3653143,A06AG10,"docusate sodium, incl. combinations"
C3652859,A06AG11,"sodium lauryl sulfoacetate, incl. combinations"
C3539968,A06AG20,combinations
C3539968,A06AG20,Enema combinations
C3653546,A06AH,Peripheral opioid receptor antagonists
C2343921,A06AH01,methylnaltrexone bromide
C1508750,A06AH02,alvimopan
C3700399,A06AH03,naloxegol
C0027358,A06AH04,naloxone
C4325235,A06AH05,naldemedine
C3654038,A06AX,Other drugs for constipation
C3654038,A06AX,Other drugs for constipation in ATC
C0017861,A06AX01,glycerol
C3652995,A06AX02,carbon dioxide producing drugs
C1684405,A06AX03,lubiprostone
C2000261,A06AX04,linaclotide
C0913506,A06AX05,prucalopride
C0537147,A06AX06,tegaserod
C3711911,A06AX07,plecanatide
C4043480,A06AX08,tenapanor
C3659266,A06AX09,elobixibat
C3653721,A07,"ANTIDIARRHEALS, INTESTINAL ANTIINFLAMMATORY/ANTIINFECTIVE AGENTS"
C3653532,A07A,INTESTINAL ANTIINFECTIVES
C3540709,A07AA,Antibiotics
C3540709,A07AA,"antibiotics, intestinal"
C0027603,A07AA01,neomycin
C0028741,A07AA02,nystatin
C0027444,A07AA03,natamycin
C0038425,A07AA04,streptomycin
C0032535,A07AA05,polymyxin B
C0030576,A07AA06,paromomycin
C0002679,A07AA07,amphotericin B
C0022487,A07AA08,kanamycin
C0042313,A07AA09,vancomycin
C0009316,A07AA10,colistin
C0073374,A07AA11,rifaximin
C0065023,A07AA12,fidaxomicin
C0073371,A07AA13,rifamycin
C2222801,A07AA51,"neomycin, combinations"
C3652821,A07AA54,"streptomycin, combinations"
C3541963,A07AB,Sulfonamides
C3541963,A07AB,"Sulfonamides, intestinal antiinfectives"
C0070975,A07AB02,phthalylsulfathiazole
C0038681,A07AB03,sulfaguanidine
C0075470,A07AB04,succinylsulfathiazole
C3540043,A07AC,Imidazole derivatives
C3540043,A07AC,"Imidazole derivatives, intestinal antiinfectives"
C0025942,A07AC01,miconazole
C3654037,A07AX,Other intestinal antiinfectives
C3654037,A07AX,Other intestinal antiinfectives in ATC
C0054157,A07AX01,broxyquinoline
C0050436,A07AX02,acetarsol
C0068742,A07AX03,nifuroxazide
C0068746,A07AX04,nifurzide
C3653533,A07B,INTESTINAL ADSORBENTS
C3654036,A07BA,Charcoal preparations
C3654036,A07BA,"Charcoal preparations, intestinal absorbents"
C0001275,A07BA01,medicinal charcoal
C3652851,A07BA51,"medicinal charcoal, combinations"
C3537185,A07BB,Bismuth preparations
C3537185,A07BB,"Bismuth preparations, intestinal adsorbents"
C3654035,A07BC,Other intestinal adsorbents
C3654035,A07BC,Other intestinal adsorbents in ATC
C0070203,A07BC01,pectin
C0022499,A07BC02,kaolin
C0728803,A07BC03,crospovidone
C0052657,A07BC04,attapulgite
C0163748,A07BC05,diosmectite
C3539960,A07BC30,combinations
C3539960,A07BC30,Other intestinal adsorbent combinations in ATC
C3653177,A07BC54,"attapulgite, combinations"
C3541942,A07C,ELECTROLYTES WITH CARBOHYDRATES
C3541942,A07C,"ELECTROLYTES WITH CARBOHYDRATES, ANTIDIARRHEALS, INTESTINAL ANTIINFLAMMATORY/ANTIINFECTIVE AGENTS"
C3653405,A07CA,Oral rehydration salt formulations
C3653282,A07D,ANTIPROPULSIVES
C3653282,A07DA,Antipropulsives
C0012525,A07DA01,diphenoxylate
C0029112,A07DA02,opium
C0023992,A07DA03,loperamide
C0057981,A07DA04,difenoxin
C0083256,A07DA05,loperamide oxide
C3712232,A07DA06,eluxadoline
C3652837,A07DA52,"morphine, combinations"
C3652856,A07DA53,"loperamide, combinations"
C3653531,A07E,INTESTINAL ANTIINFLAMMATORY AGENTS
C3653474,A07EA,Corticosteroids acting locally
C0032950,A07EA01,prednisolone
C0020268,A07EA02,hydrocortisone
C0032952,A07EA03,prednisone
C0005308,A07EA04,betamethasone
C0146010,A07EA05,tixocortol
C0054201,A07EA06,budesonide
C0004905,A07EA07,beclometasone
C3540701,A07EB,"Antiallergic agents, excl. corticosteroids"
C3540701,A07EB,"Antiallergic intestinal antiinflammatory drugs, excl. corticosteroids"
C0086073,A07EB01,cromoglicic acid
C3653630,A07EC,Aminosalicylic acid and similar agents
C0036078,A07EC01,sulfasalazine
C0127615,A07EC02,mesalazine
C0069454,A07EC03,olsalazine
C0052940,A07EC04,balsalazide
C3653749,A07F,ANTIDIARRHEAL MICROORGANISMS
C3653749,A07FA,Antidiarrheal microorganisms
C3652680,A07FA01,lactic acid producing organisms
C0772093,A07FA02,saccharomyces boulardii
C0014834,A07FA03,escherichia coli
C3652861,A07FA51,"lactic acid producing organisms, combinations"
C3653914,A07X,OTHER ANTIDIARRHEALS
C3653914,A07X,OTHER ANTIDIARRHEALS in ATC
C3653914,A07XA,Other antidiarrheals
C3653914,A07XA,Other antidiarrheals in ATC
C0772076,A07XA01,albumin tannate
C0349918,A07XA02,ceratonia
C3536914,A07XA03,calcium compounds
C0050461,A07XA04,racecadotril
C2744960,A07XA06,crofelemer
C3653184,A07XA51,"albumin tannate, combinations"
C3653760,A08,"ANTIOBESITY PREPARATIONS, EXCL. DIET PRODUCTS"
C3653760,A08A,"ANTIOBESITY PREPARATIONS, EXCL. DIET PRODUCTS"
C3653512,A08AA,Centrally acting antiobesity products
C0031447,A08AA01,phentermine
C0015827,A08AA02,fenfluramine
C0012201,A08AA03,amfepramone
C0011786,A08AA04,dexfenfluramine
C0024977,A08AA05,mazindol
C0059791,A08AA06,etilamfetamine
C0069021,A08AA07,cathine
C0055894,A08AA08,clobenzorex
C0065870,A08AA09,mefenorex
C0074493,A08AA10,sibutramine
C2350948,A08AA11,lorcaserin
C4279595,A08AA12,setmelanotide
