code,EMIS_term,product_name,substance_name,formulation,administration_route
4103141000033119,Mediven Plus class 1 (18-21mmHg) below knee open toe lymphoedema garment extra wide petite size VII Black (Medi UK Ltd),Mediven Plus class 1 (18-21mmHg) below knee open toe lymphoedema garment extra wide petite size VII,NA,NA,NA
4103241000033114,Mediven Plus class 1 (18-21mmHg) thigh length open toe with silicone top band lymphoedema garment petite size I Black (Medi UK Ltd),Mediven Plus class 1 (18-21mmHg) thigh length open toe with silicone top band lymphoedema garment petite size I,NA,NA,NA
4103341000033116,Mediven Plus class 1 (18-21mmHg) thigh length open toe with silicone top band lymphoedema garment petite size II Black (Medi UK Ltd),Mediven Plus class 1 (18-21mmHg) thigh length open toe with silicone top band lymphoedema garment petite size II,NA,NA,NA
4103441000033110,Mediven Plus class 1 (18-21mmHg) thigh length open toe with silicone top band lymphoedema garment petite size III Black (Medi UK Ltd),Mediven Plus class 1 (18-21mmHg) thigh length open toe with silicone top band lymphoedema garment petite size III,NA,NA,NA
4103541000033111,Mediven Plus class 1 (18-21mmHg) thigh length open toe with silicone top band lymphoedema garment petite size IV Black (Medi UK Ltd),Mediven Plus class 1 (18-21mmHg) thigh length open toe with silicone top band lymphoedema garment petite size IV,NA,NA,NA
4103641000033112,Mediven Plus class 1 (18-21mmHg) thigh length open toe with silicone top band lymphoedema garment petite size V Black (Medi UK Ltd),Mediven Plus class 1 (18-21mmHg) thigh length open toe with silicone top band lymphoedema garment petite size V,NA,NA,NA
4103741000033115,Mediven Plus class 1 (18-21mmHg) thigh length open toe with silicone top band lymphoedema garment petite size VI Black (Medi UK Ltd),Mediven Plus class 1 (18-21mmHg) thigh length open toe with silicone top band lymphoedema garment petite size VI,NA,NA,NA
4103841000033113,Mediven Plus class 1 (18-21mmHg) thigh length open toe with silicone top band lymphoedema garment petite size VII Black (Medi UK Ltd),Mediven Plus class 1 (18-21mmHg) thigh length open toe with silicone top band lymphoedema garment petite size VII,NA,NA,NA
4103941000033117,Innovative Solutions Pure gluten free bakery blend mix (Innovative Solutions (UK) Ltd),Innovative Solutions Pure gluten free bakery blend mix,NA,Not applicable,NA
4104041000033115,Mediven Plus class 1 (18-21mmHg) thigh length open toe with silicone top band lymphoedema garment size I Black (Medi UK Ltd),Mediven Plus class 1 (18-21mmHg) thigh length open toe with silicone top band lymphoedema garment size I,NA,NA,NA
4104141000033116,Mediven Plus class 1 (18-21mmHg) thigh length open toe with silicone top band lymphoedema garment size II Black (Medi UK Ltd),Mediven Plus class 1 (18-21mmHg) thigh length open toe with silicone top band lymphoedema garment size II,NA,NA,NA
4104241000033111,Mediven Plus class 1 (18-21mmHg) thigh length open toe with silicone top band lymphoedema garment size III Black (Medi UK Ltd),Mediven Plus class 1 (18-21mmHg) thigh length open toe with silicone top band lymphoedema garment size III,NA,NA,NA
4104341000033118,Mediven Plus class 1 (18-21mmHg) thigh length open toe with silicone top band lymphoedema garment size IV Black (Medi UK Ltd),Mediven Plus class 1 (18-21mmHg) thigh length open toe with silicone top band lymphoedema garment size IV,NA,NA,NA
4104441000033112,Mediven Plus class 1 (18-21mmHg) thigh length open toe with silicone top band lymphoedema garment size V Black (Medi UK Ltd),Mediven Plus class 1 (18-21mmHg) thigh length open toe with silicone top band lymphoedema garment size V,NA,NA,NA
4104541000033113,Mediven Plus class 1 (18-21mmHg) thigh length open toe with silicone top band lymphoedema garment size VI Black (Medi UK Ltd),Mediven Plus class 1 (18-21mmHg) thigh length open toe with silicone top band lymphoedema garment size VI,NA,NA,NA
4104641000033114,Mediven Plus class 1 (18-21mmHg) thigh length open toe with silicone top band lymphoedema garment size VII Black (Medi UK Ltd),Mediven Plus class 1 (18-21mmHg) thigh length open toe with silicone top band lymphoedema garment size VII,NA,NA,NA
4104741000033117,Innovative Solutions Pure xanthan gum (Innovative Solutions (UK) Ltd),Innovative Solutions Pure xanthan gum,NA,Not applicable,NA
4104841000033110,UltraSmooth hydrophilic catheter male 8Ch US4008 (Peak Medical Ltd),UltraSmooth hydrophilic catheter male 8Ch,NA,NA,NA
4104941000033119,UltraSmooth hydrophilic catheter male 10Ch US4010 (Peak Medical Ltd),UltraSmooth hydrophilic catheter male 10Ch,NA,NA,NA
4105041000033119,UltraSmooth hydrophilic catheter male 12Ch US4012 (Peak Medical Ltd),UltraSmooth hydrophilic catheter male 12Ch,NA,NA,NA
4105141000033115,UltraSmooth hydrophilic catheter male 14Ch US4014 (Peak Medical Ltd),UltraSmooth hydrophilic catheter male 14Ch,NA,NA,NA
4105241000033110,UltraSmooth hydrophilic catheter male 16Ch US4016 (Peak Medical Ltd),UltraSmooth hydrophilic catheter male 16Ch,NA,NA,NA
4105341000033117,Mediven Plus class 1 (18-21mmHg) below knee open toe lymphoedema garment size I Beige (Medi UK Ltd),Mediven Plus class 1 (18-21mmHg) below knee open toe lymphoedema garment size I,NA,NA,NA
4105441000033111,Mediven Plus class 1 (18-21mmHg) below knee open toe lymphoedema garment size II Beige (Medi UK Ltd),Mediven Plus class 1 (18-21mmHg) below knee open toe lymphoedema garment size II,NA,NA,NA
4105541000033112,Mediven Plus class 1 (18-21mmHg) below knee open toe lymphoedema garment size III Beige (Medi UK Ltd),Mediven Plus class 1 (18-21mmHg) below knee open toe lymphoedema garment size III,NA,NA,NA
4105641000033113,Mediven Plus class 1 (18-21mmHg) below knee open toe lymphoedema garment size IV Beige (Medi UK Ltd),Mediven Plus class 1 (18-21mmHg) below knee open toe lymphoedema garment size IV,NA,NA,NA
4105741000033116,Mediven Plus class 1 (18-21mmHg) below knee open toe lymphoedema garment size V Beige (Medi UK Ltd),Mediven Plus class 1 (18-21mmHg) below knee open toe lymphoedema garment size V,NA,NA,NA
4105841000033114,Mediven Plus class 1 (18-21mmHg) below knee open toe lymphoedema garment size VI Beige (Medi UK Ltd),Mediven Plus class 1 (18-21mmHg) below knee open toe lymphoedema garment size VI,NA,NA,NA
4105941000033118,Mediven Plus class 1 (18-21mmHg) below knee open toe lymphoedema garment size VII Beige (Medi UK Ltd),Mediven Plus class 1 (18-21mmHg) below knee open toe lymphoedema garment size VII,NA,NA,NA
4106041000033111,Mediven Plus class 1 (18-21mmHg) below knee open toe lymphoedema garment petite size I Beige (Medi UK Ltd),Mediven Plus class 1 (18-21mmHg) below knee open toe lymphoedema garment petite size I,NA,NA,NA
4106141000033110,Mediven Plus class 1 (18-21mmHg) below knee open toe lymphoedema garment petite size II Beige (Medi UK Ltd),Mediven Plus class 1 (18-21mmHg) below knee open toe lymphoedema garment petite size II,NA,NA,NA
4106241000033115,Mediven Plus class 1 (18-21mmHg) below knee open toe lymphoedema garment petite size III Beige (Medi UK Ltd),Mediven Plus class 1 (18-21mmHg) below knee open toe lymphoedema garment petite size III,NA,NA,NA
4106341000033113,Mediven Plus class 1 (18-21mmHg) below knee open toe lymphoedema garment petite size IV Beige (Medi UK Ltd),Mediven Plus class 1 (18-21mmHg) below knee open toe lymphoedema garment petite size IV,NA,NA,NA
4106441000033119,Mediven Plus class 1 (18-21mmHg) below knee open toe lymphoedema garment petite size V Beige (Medi UK Ltd),Mediven Plus class 1 (18-21mmHg) below knee open toe lymphoedema garment petite size V,NA,NA,NA
4106541000033118,Mediven Plus class 1 (18-21mmHg) below knee open toe lymphoedema garment petite size VI Beige (Medi UK Ltd),Mediven Plus class 1 (18-21mmHg) below knee open toe lymphoedema garment petite size VI,NA,NA,NA
4106641000033117,Mediven Plus class 1 (18-21mmHg) below knee open toe lymphoedema garment petite size VII Beige (Medi UK Ltd),Mediven Plus class 1 (18-21mmHg) below knee open toe lymphoedema garment petite size VII,NA,NA,NA
4106741000033114,Mediven Plus class 1 (18-21mmHg) below knee open toe lymphoedema garment extra wide size I Beige (Medi UK Ltd),Mediven Plus class 1 (18-21mmHg) below knee open toe lymphoedema garment extra wide size I,NA,NA,NA
4106841000033116,Mediven Plus class 1 (18-21mmHg) below knee open toe lymphoedema garment extra wide size II Beige (Medi UK Ltd),Mediven Plus class 1 (18-21mmHg) below knee open toe lymphoedema garment extra wide size II,NA,NA,NA
4106941000033112,Mediven Plus class 1 (18-21mmHg) below knee open toe lymphoedema garment extra wide size III Beige (Medi UK Ltd),Mediven Plus class 1 (18-21mmHg) below knee open toe lymphoedema garment extra wide size III,NA,NA,NA
4107041000033113,Mediven Plus class 1 (18-21mmHg) below knee open toe lymphoedema garment extra wide size IV Beige (Medi UK Ltd),Mediven Plus class 1 (18-21mmHg) below knee open toe lymphoedema garment extra wide size IV,NA,NA,NA
4107141000033112,Mediven Plus class 1 (18-21mmHg) below knee open toe lymphoedema garment extra wide size V Beige (Medi UK Ltd),Mediven Plus class 1 (18-21mmHg) below knee open toe lymphoedema garment extra wide size V,NA,NA,NA
4107241000033117,Mediven Plus class 1 (18-21mmHg) below knee open toe lymphoedema garment extra wide size VI Beige (Medi UK Ltd),Mediven Plus class 1 (18-21mmHg) below knee open toe lymphoedema garment extra wide size VI,NA,NA,NA
